,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Local Government Renewables Action Tracker - Transaction Data (01/01/2015 - 06/30/2022),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Updated 12/21/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Buyer Data,,,,,,Transaction Overview,,,,,,,,,Development and Operation Details,,,,,,,,Data Source Details,,,,,,,,,,,,,,,,,,,,,,,
Ref. No.,Buyer Name,State,City Latitude,City Longitude,ISO or FERC Region,Announcement Year,Announcement Year (or Operations Year if Announcement Year unavailable),Announcement Date,Technology,Transaction Type,Size of Purchase (MW),DC/AC,Contract Length (Year),Energy Price in Year 1 ($/MWh),Utility Name,Utility Type,Developer Name,Project Name,Project Location,Project State,Operation Start Year,Estimated Annual Generation (MWh),Source 1,Source 2,Source 3,Source 4,Source 5,Notes,,,,,,,,,,,,,,,,,,
45,Sahuarita,Arizona,31.9575818,-110.955646,Southwest,,2020,,Solar,On-site,0.957,DC,,,,,Solon,Wastewater Treatment Plant,Sahuarita,Arizona,2020,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
46,Tempe,Arizona,33.4255056,-111.94001,Southwest,,2015,,Solar,On-site,0.265,,,,Salt River Project (SRP),Non-municipal Public-owned Utility,,Police and Courts - Downtown solar system,Tempe,Arizona,2015,,https://www.tempe.gov/government/sustainable-tempe/focus-areas/renewable-energy-and-efficiency/solar/solar-projects,,,,,,,,,,,,,,,,,,,,,,,
47,Tempe,Arizona,33.4255056,-111.94001,Southwest,2016,2016,11/05/2016,Solar,On-site,0.372,,,,Salt River Project (SRP),Non-municipal Public-owned Utility,,Kiwanis Recreation Center solar system,Tempe,Arizona,2016,,https://www.tempe.gov/government/sustainable-tempe/focus-areas/renewable-energy-and-efficiency/solar/solar-projects,https://www.wranglernews.com/pdf/wn110516.pdf,,,,,,,,,,,,,,,,,,,,,,
48,Tempe,Arizona,33.4255056,-111.94001,Southwest,2016,2016,10/28/2016,Solar,On-site,0.537,,,,Salt River Project (SRP),Non-municipal Public-owned Utility,,East Valley Bus & Operation Center solar system,Tempe,Arizona,2016,832,https://www.tempe.gov/government/sustainable-tempe/focus-areas/renewable-energy-and-efficiency/solar/solar-projects,https://www.masstransitmag.com/technology/facilities/shelters-stations-fixtures-parking-lighting/press-release/12274141/valley-metro-solar-energy-to-power-transit-facility,,,,,,,,,,,,,,,,,,,,,,
49,Tempe,Arizona,33.4255056,-111.94001,Southwest,2016,2016,11/05/2016,Solar,On-site,0.800,,,,Salt River Project (SRP),Non-municipal Public-owned Utility,,Library and History Museum solar system,Tempe,Arizona,2016,,https://www.tempe.gov/government/sustainable-tempe/focus-areas/renewable-energy-and-efficiency/solar/solar-projects,https://www.wranglernews.com/pdf/wn110516.pdf,,,,,,,,,,,,,,,,,,,,,,
50,Tempe,Arizona,33.4255056,-111.94001,Southwest,,2018,,Solar,On-site,1.200,DC,,,Salt River Project (SRP),Non-municipal Public-owned Utility,Tesla,Johnny G. Martinez Water Treatment Plant solar system,Tempe,Arizona,2018,"1,800",https://www.tempe.gov/government/sustainable-tempe/focus-areas/renewable-energy-and-efficiency/solar/solar-projects,https://www.tempe.gov/government/sustainable-tempe/focus-areas/renewable-energy-and-efficiency,,,,,,,,,,,,,,,,,,,,,,
51,Tempe,Arizona,33.4255056,-111.94001,Southwest,2019,2019,07/26/2019,Solar,Green Tariff,1.400,,15,,Salt River Project (SRP),Non-municipal Public-owned Utility,sPower,Central Line Solar,Eloy,Arizona,2021,,https://www.tempe.gov/home/showdocument?id=85793,https://media.srpnet.com/innovative-businesses-cities-and-schoolshigher-education-go-solar-with-salt-river-project/,,,,,,,,,,,,,,,,,,,,,,
52,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,0.068,DC,,,,,Solon,Station 379 at Golder Ranch Fire District,Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
53,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2020,,Solar,On-site,0.080,DC,,,,,Solon,Fred Enke Golf,Tucson,Arizona,2020,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
54,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2020,,Solar,On-site,0.093,DC,,,,,Solon,El Rio Golf,Tucson,Arizona,2020,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
55,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2021,,Solar,On-site,0.097,DC,,,,,Solon,Station 380 at Golder Ranch Fire District,Tucson,Arizona,2021,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
56,Tucson,Arizona,32.2228765,-110.9748477,Southwest,,2020,,Solar,On-site,0.106,DC,,,,,Solon,Silverbell Golf,Tucson,Arizona,2020,,https://solonamerica.com/customers/municipalities/,,,,,,,,,,,,,,,,,,,,,,,
