Year,Source,Metric,Value
2023,Geothermal,Public Flows (2022 USD M),54.15
2023,Hydropower,Electricity Generation (GWh),4270210.03
2023,Hydropower,Public Flows (2022 USD M),3278.96
2023,Marine,Electricity Generation (GWh),919.27
2023,Nuclear,Electricity Generation (GWh),2738520.35
2023,Nuclear,Public Flows (2022 USD M),121.57
2023,Other-Non-renewable,Electricity Generation (GWh),177506.33
2023,Other-Non-renewable, Public Flows (2022 USD M),0.58
2023,Pumped-Storage,Electricity Generation (GWh),147599.78
2023,Solar,Electricity Generation (GWh),1623750.89
2023,Solar,Public Flows (2022 USD M),10360.2
2023,Wind,Electricity Generation (GWh),2303935.44
2023,Wind,Public Flows (2022 USD M),4199.48
2023,Total-Sum,Electricity Generation (GWh),29867182.31
2023,Total-Sum,Public Flows (2022 USD M),22469.36
