year,generation
2015,150.56
2016,178.16
2013,6.72
2014,6.73
2015,6.39
2016,7
2013,7.14
2014,7.14
2015,6.41
2016,6.42
2013,4.79
2014,4.79
2015,4.38
2016,4.39
2013,237.92
2014,236.08
2015,151.76
2016,156.87
2013,262.3
2014,248.83
2015,158.9
2016,166.29
2013,1212.06
2014,1212.44
2015,388.72
2016,650.72
2013,665.39
2014,665.59
2015,213.98
2016,356.89
2013,4379.05
2014,4257.32
2015,2046.68
2016,3107.43
2013,291.89
2014,289.62
2015,150.49
2016,188.67
2013,1.97
2014,2.13
2015,1.92
2016,1.85
2013,21.96
2014,21.96
2015,17.83
2016,17.87
2013,1.82
2014,1.74
2015,1.74
2016,1.68
2013,35.66
2014,35.75
2015,34.62
2016,36.61
2013,141.43
2014,137.05
2015,88.14
2016,88.32
2013,119.73
2014,111.13
2015,77.51
2016,111.3
2013,210.99
2014,221.88
2015,220.08
2016,210.73
2013,173.34
2014,173.34
2015,130.25
2016,130.61
2013,40.78
2014,44.4
2015,44.03
2016,44.24
2013,165.3
2014,164.71
2015,164.97
2016,167.49
2013,12.88
2014,12.93
2015,12.85
2016,12.8
2013,14.06
2014,13.91
2015,13.38
2016,13.52
2013,255.22
2014,241.97
2015,156.79
2016,163.55
2013,346.83
2014,350.34
2015,336.35
2016,344.83
2013,16.03
2014,12.5
2015,11.1
2016,11.79
2013,1215.91
2014,676.23
2015,437.76
2016,428
2013,43.54
2014,45.49
2015,41.44
2016,45.77
2013,39.41
2014,39.35
2015,33.31
2016,49.62
2013,166.73
2014,165.19
2015,167.08
2016,169.22
2013,873.43
2014,911.14
2015,714.06
2016,943.51
2013,89.14
2014,111.66
2015,75.33
2016,79.88
2013,88.43
2014,111.56
2015,84.33
2016,84.56
2013,1439.75
2014,1504.16
2015,1113.44
2016,1566
2013,69.07
2014,86.43
2015,60.68
2016,62.66
2013,425.09
2014,447.53
2015,408.34
2016,412.7
2013,58.34
2014,81.28
2015,52.98
2016,54.43
2013,190.81
2014,274.34
2015,190.18
2016,165.63
2013,3.91
2014,4.63
2015,4
2016,4.18
2013,325.39
2014,367.03
2015,281.92
2016,281.15
2013,131.27
2014,156.21
2015,111.22
2016,114.42
2013,277.32
2014,312.81
2015,240.27
2016,239.61
2013,84.14
2014,101.75
2015,73.67
2016,73.05
2013,891.52
2014,877.02
2015,969.66
2016,1004.16
2013,58.43
2014,65.26
2015,45.07
2016,53.46
2013,73.69
2014,92.97
2015,70.27
2016,70.47
2013,69.32
2014,72.19
2015,60.03
2016,63.31
2013,66.79
2014,68.49
2015,72.1
2016,74.9
2013,592.22
2014,796.01
2015,499.08
2016,521.53
2013,53.68
2014,59.82
2015,45.49
2016,49.01
2013,1465.01
2014,1421.21
2015,1594.37
2016,1644.42
2013,226.43
2014,276.85
2015,197.72
2016,195.67
2013,3.91
2014,4.63
2015,4
2016,4.18
2013,691.12
2014,720.75
2015,561.04
2016,746.19
2013,195.22
2014,281.49
2015,175.51
2016,174.72
2013,322.67
2014,371.22
2015,268.91
2016,275.14
2013,301.8
2014,326.28
2015,261.8
2016,262.1
2013,1078.76
2014,1396.07
2015,994.45
2016,1001.46
2013,689.49
2014,1012.11
2015,626.75
2016,628.5
2013,1476.7
2014,1878.79
2015,1290.73
2016,1255.81
2013,1201.64
2014,1689.37
2015,1058.26
2016,1232.55
2013,394.18
2014,506.9
2015,332.86
2016,383.35
2013,615.87
2014,864.31
2015,529.43
2016,624.31
2013,105.84
2014,123.33
2015,83.68
2016,84.03
2013,3.57
2014,4.68
2015,3.97
2016,4.08
2013,58.5
2014,74.84
2015,55.37
2016,55.52
2013,1280.52
2014,1795.67
2015,1074.07
2016,1150.04
2013,77.7
2014,97.24
2015,68.27
2016,70.49
2013,155.78
2014,185.32
2015,132.04
2016,135.82
2013,114.08
2014,131.41
2015,92.22
2016,99.31
2013,105.58
2014,123.07
2015,85.38
2016,93.42
2013,88.93
2014,99.17
2015,68.89
2016,81.48
2013,92.61
2014,96.33
2015,77.64
2016,82.3
2013,46.23
2014,55.73
2015,37.82
2016,41.52
2013,149.11
2014,166.64
2015,120.72
2016,125.48
2013,5.42
2014,7.2
2015,5.79
2016,5.8
2013,707.53
2014,983.21
2015,625.89
2016,682.64
2013,305.21
2014,392.46
2015,286.4
2016,287.18
2013,1999.1
2014,2529.84
2015,2144.89
2016,2150.76
2013,21.31
2014,26.92
2015,19.6
2016,20.39
2013,726.35
2014,1177.58
2015,652.42
